
=== Imprimindo Tabela ===
[117] - Lista vazia!	 Numero de repeticoes: [0]
[118] - Lista vazia!	 Numero de repeticoes: [0]
[119] - Lista vazia!	 Numero de repeticoes: [0]
[120] - Lista vazia!	 Numero de repeticoes: [0]
[121] - Lista vazia!	 Numero de repeticoes: [0]
[122] - Lista vazia!	 Numero de repeticoes: [0]
[123] - Lista vazia!	 Numero de repeticoes: [0]
[124] - Lista vazia!	 Numero de repeticoes: [0]
[125] - Lista vazia!	 Numero de repeticoes: [0]
[126] - Lista vazia!	 Numero de repeticoes: [0]
[127] - Lista vazia!	 Numero de repeticoes: [0]
[128] - Lista vazia!	 Numero de repeticoes: [0]
[129] - Lista vazia!	 Numero de repeticoes: [0]
[130] - Lista vazia!	 Numero de repeticoes: [0]
[131] - Lista vazia!	 Numero de repeticoes: [0]
[132] - Lista vazia!	 Numero de repeticoes: [0]
[133] - Lista vazia!	 Numero de repeticoes: [0]
[134] - Lista vazia!	 Numero de repeticoes: [0]
[135] - Lista vazia!	 Numero de repeticoes: [0]
[136] - Lista vazia!	 Numero de repeticoes: [0]
[137] - Lista vazia!	 Numero de repeticoes: [0]
[138] - Lista vazia!	 Numero de repeticoes: [0]
[139] - Lista vazia!	 Numero de repeticoes: [0]
[140] - Lista vazia!	 Numero de repeticoes: [0]
[141] - Lista vazia!	 Numero de repeticoes: [0]
[142] - Lista vazia!	 Numero de repeticoes: [0]
[143] - Lista vazia!	 Numero de repeticoes: [0]
[144] - Lista vazia!	 Numero de repeticoes: [0]
[145] - Lista vazia!	 Numero de repeticoes: [0]
[146] - Lista vazia!	 Numero de repeticoes: [0]
[147] - Lista vazia!	 Numero de repeticoes: [0]
[148] - Lista vazia!	 Numero de repeticoes: [0]
[149] - Lista vazia!	 Numero de repeticoes: [0]
[150] - Lista vazia!	 Numero de repeticoes: [0]
[151] - Lista vazia!	 Numero de repeticoes: [0]
[152] - Lista vazia!	 Numero de repeticoes: [0]
[153] - Lista vazia!	 Numero de repeticoes: [0]
[154] - Lista vazia!	 Numero de repeticoes: [0]
[155] - resalva 	 Numero de repeticoes: [1]
[156] - Lista vazia!	 Numero de repeticoes: [0]
